Order,Layer,Task ID,Task Name,Blocking Reason,OpenCode Action
1,0,T-0.6.1,Run OWASP Top 10 review checklist,Quick win — no dependencies,"Review middleware, API routes, auth, data validation. Document findings."
2,8,T-8.1.1,Research and select pentest vendor,Hard gate for enterprise contracts,Identify vendors, get quotes, recommend selection.
3,0.5,T-05.1.1,Implement per-request token cost calculation,Prerequisite for all AI cost controls,Add cost calculation to governed-ai-executor.ts.
4,0,T-0.3.1 + T-0.3.2,Provision Redis + wire rate limiter,Multi-instance production readiness,"Provision Redis instance (Docker for now), wire redis-rate-limiter.ts."
5,0,T-0.2.1 + T-0.2.2 + T-0.2.3,Backup automation + restore drill,Data safety,"Review scripts, schedule automated backup, document restore drill with timestamp."
6,0,T-0.1.1 + T-0.1.2 + T-0.1.3,Staging environment,Prerequisite for safe deployment,Provision staging PG + configure CI deploy.
7,0.5,T-05.2.1 + T-05.2.2,Activate AI audit logging + prompt/response logging,Observability foundation,Wire onGenerate callback, add logging to executor.
8,0.5,T-05.1.2 + T-05.1.4,Per-tenant token budgets + spend dashboard,AI cost control,"Implement budget enforcement with alerts, build basic spend dashboard."
9,1,T-1.1.1 + T-1.1.2,Fix P2 loading/error boundaries on 6 audit tabs,Pilot UX quality,Add loading skeletons and error fallbacks to remaining tabs.
10,0.5,T-05.4.1 + T-05.4.2 + T-05.4.3,Wire real LLM providers with retry/fallback,Production AI,Wire Anthropic/OpenAI providers with retry wrappers.
11,1,T-1.2.1 + T-1.2.2,Clean up audit mock AI paths,Production integrity,Replace mock paths in ai-service.ts.
12,0.5,T-05.3.1 + T-05.3.2 + T-05.3.3,Build AI eval framework with CI gate,AI quality gate,"Define golden test sets, build runner, add to CI."
13,1,T-1.3.1 + T-1.3.2 + T-1.3.3 + T-1.3.4,Build audit integration test suite,Regression prevention,4 test files covering governance, export, RBAC, E2E.
14,1,T-1.4.1 + T-1.4.2,Pricing + ROI model,Commercial readiness,"Draft pricing tiers, build audit-hours-saved ROI calculator."
15,8,T-8.1.2 + T-8.1.3,Schedule and execute pentest,Enterprise readiness gate,Schedule pentest, receive findings.
16,0,T-0.4.1 + T-0.4.3,Alerting + monitoring dashboard,Operational readiness,Configure Sentry alerts + golden signals dashboard.
17,0,T-0.5.1 + T-0.5.2,IaC for prod + staging,Reproducibility,Draft Terraform/Pulumi modules.
18,1,T-1.4.3 + T-1.4.4 + T-1.4.5 + T-1.4.6,Execute AuditOS pilot,Pilot execution,"Approach partners, execute onboarding, sign LOI/SOW."
19,8,T-8.1.4,Remediate pentest findings,Enterprise readiness,Close critical/high findings.
20,0.5,T-05.5.1 + T-05.5.2,RAG research + pgvector setup,Shared intelligence capability,Research approach, add pgvector extension.
21,3,T-3.1.1 + T-3.1.2 + T-3.1.3,DecisionOS outcome dashboard,DecisionOS L5 completion,Build dashboard and analytics.
22,0.5,T-05.4.4,Add AI response streaming (optional),UX improvement,Implement streaming for audit AI suggestions.
